Price,Tag,Time
6450.5,XBT/EUR,2018-04-16 17:20:06
6450.5,XBT/EUR,2018-04-16 17:20:07
6447.0,XBT/EUR,2018-04-16 17:21:24
6447.0,XBT/EUR,2018-04-16 17:21:25
6455.3,XBT/EUR,2018-04-16 17:34:45
6455.0,XBT/EUR,2018-04-16 17:35:54
6458.4,XBT/EUR,2018-04-16 17:35:59
6458.4,XBT/EUR,2018-04-16 17:36:00
6458.4,XBT/EUR,2018-04-16 17:36:06
6458.4,XBT/EUR,2018-04-16 17:36:08
6456.7,XBT/EUR,2018-04-16 17:36:16
6458.4,XBT/EUR,2018-04-16 17:36:26
6457.1,XBT/EUR,2018-04-16 17:36:36
6457.1,XBT/EUR,2018-04-16 17:36:47
6458.4,XBT/EUR,2018-04-16 17:36:57
6458.4,XBT/EUR,2018-04-16 17:37:07
6459.9,XBT/EUR,2018-04-16 17:37:17
6475.3,XBT/EUR,2018-04-16 17:37:27
6465.0,XBT/EUR,2018-04-16 17:37:47
6465.2,XBT/EUR,2018-04-16 17:39:58
6465.7,XBT/EUR,2018-04-16 17:40:02
6467.9,XBT/EUR,2018-04-16 17:40:04
6466.0,XBT/EUR,2018-04-16 17:45:12
6466.0,XBT/EUR,2018-04-16 17:45:14
6466.1,XBT/EUR,2018-04-16 17:46:10
6466.1,XBT/EUR,2018-04-16 17:46:12
6466.1,XBT/EUR,2018-04-16 17:46:21
6466.1,XBT/EUR,2018-04-16 17:46:24
6466.1,XBT/EUR,2018-04-16 17:46:25
6467.0,XBT/EUR,2018-04-16 17:46:33
6469.0,XBT/EUR,2018-04-16 17:46:44
6469.0,XBT/EUR,2018-04-16 17:46:46
6469.0,XBT/EUR,2018-04-16 17:46:48
6469.0,XBT/EUR,2018-04-16 17:46:57
6467.0,XBT/EUR,2018-04-16 17:47:07
6467.0,XBT/EUR,2018-04-16 17:47:16
6467.0,XBT/EUR,2018-04-16 17:47:28
6467.0,XBT/EUR,2018-04-16 17:47:36
6465.0,XBT/EUR,2018-04-16 17:47:47
6463.0,XBT/EUR,2018-04-16 17:47:56
6463.0,XBT/EUR,2018-04-16 17:48:07
6460.7,XBT/EUR,2018-04-16 17:48:18
6460.7,XBT/EUR,2018-04-16 17:48:19
6463.0,XBT/EUR,2018-04-16 17:48:27
6463.0,XBT/EUR,2018-04-16 17:48:37
6463.0,XBT/EUR,2018-04-16 17:48:47
6460.7,XBT/EUR,2018-04-16 17:48:58
6460.6,XBT/EUR,2018-04-16 17:49:07
6460.7,XBT/EUR,2018-04-16 17:49:17
6460.7,XBT/EUR,2018-04-16 17:49:27
6462.7,XBT/EUR,2018-04-16 17:50:03
6462.7,XBT/EUR,2018-04-16 17:50:05
6460.6,XBT/EUR,2018-04-16 17:50:17
6460.6,XBT/EUR,2018-04-16 17:50:19
6460.6,XBT/EUR,2018-04-16 17:50:26
6460.5,XBT/EUR,2018-04-16 17:50:36
6463.0,XBT/EUR,2018-04-16 17:50:46
6463.0,XBT/EUR,2018-04-16 17:50:56
6463.0,XBT/EUR,2018-04-16 17:51:06
6463.0,XBT/EUR,2018-04-16 17:51:16
6463.0,XBT/EUR,2018-04-16 17:51:52
6463.0,XBT/EUR,2018-04-16 17:51:54
6460.5,XBT/EUR,2018-04-16 17:52:02
6463.0,XBT/EUR,2018-04-16 17:52:53
6463.0,XBT/EUR,2018-04-16 17:52:54
6422.0,XBT/EUR,2018-04-16 18:10:44
6422.0,XBT/EUR,2018-04-16 18:10:53
6427.5,XBT/EUR,2018-04-16 18:11:04
6427.5,XBT/EUR,2018-04-16 18:11:07
6427.5,XBT/EUR,2018-04-16 18:11:12
6427.5,XBT/EUR,2018-04-16 18:11:15
6427.5,XBT/EUR,2018-04-16 18:11:16
6427.5,XBT/EUR,2018-04-16 18:11:36
6427.5,XBT/EUR,2018-04-16 18:11:37
6427.5,XBT/EUR,2018-04-16 18:11:39
6427.5,XBT/EUR,2018-04-16 18:11:40
6427.5,XBT/EUR,2018-04-16 18:11:49
6425.8,XBT/EUR,2018-04-16 18:11:59
6425.4,XBT/EUR,2018-04-16 18:12:29
6425.4,XBT/EUR,2018-04-16 18:12:30
6425.4,XBT/EUR,2018-04-16 18:12:39
6425.4,XBT/EUR,2018-04-16 18:12:46
6425.4,XBT/EUR,2018-04-16 18:12:47
6427.5,XBT/EUR,2018-04-16 18:18:47
6427.4,XBT/EUR,2018-04-16 18:18:56
6427.5,XBT/EUR,2018-04-16 18:18:59
6427.5,XBT/EUR,2018-04-16 18:19:00
6427.5,XBT/EUR,2018-04-16 18:19:09
6427.5,XBT/EUR,2018-04-16 18:19:19
6430.0,XBT/EUR,2018-04-16 18:19:29
6436.5,XBT/EUR,2018-04-16 18:20:17
6436.5,XBT/EUR,2018-04-16 18:20:18
6436.6,XBT/EUR,2018-04-16 18:20:26
6436.6,XBT/EUR,2018-04-16 18:20:36
6429.9,XBT/EUR,2018-04-16 18:20:46
6434.9,XBT/EUR,2018-04-16 18:20:56
6434.9,XBT/EUR,2018-04-16 18:21:07
6436.4,XBT/EUR,2018-04-16 18:21:17
6436.8,XBT/EUR,2018-04-16 18:21:46
6436.8,XBT/EUR,2018-04-16 18:21:47
6436.8,XBT/EUR,2018-04-16 18:21:55
6436.8,XBT/EUR,2018-04-16 18:22:04
6436.8,XBT/EUR,2018-04-16 18:22:05
6436.0,XBT/EUR,2018-04-16 18:22:18
6419.7,XBT/EUR,2018-04-16 18:22:19
6434.9,XBT/EUR,2018-04-16 18:22:28
6427.1,XBT/EUR,2018-04-16 18:22:38
6427.1,XBT/EUR,2018-04-16 18:22:48
6432.3,XBT/EUR,2018-04-16 18:22:57
6434.3,XBT/EUR,2018-04-16 18:23:08
6434.3,XBT/EUR,2018-04-16 18:23:18
6432.0,XBT/EUR,2018-04-16 18:23:27
6424.0,XBT/EUR,2018-04-16 18:23:36
6424.0,XBT/EUR,2018-04-16 18:23:37
6431.9,XBT/EUR,2018-04-16 18:23:46
6427.5,XBT/EUR,2018-04-16 18:23:56
6431.5,XBT/EUR,2018-04-16 18:24:06
6424.0,XBT/EUR,2018-04-16 18:25:47
6429.6,XBT/EUR,2018-04-16 18:25:58
6429.6,XBT/EUR,2018-04-16 18:26:04
6429.6,XBT/EUR,2018-04-16 18:26:06
6429.8,XBT/EUR,2018-04-16 18:26:14
6429.8,XBT/EUR,2018-04-16 18:26:24
6429.8,XBT/EUR,2018-04-16 18:26:34
6429.8,XBT/EUR,2018-04-16 18:26:44
6427.5,XBT/EUR,2018-04-16 18:26:54
6429.0,XBT/EUR,2018-04-16 18:27:04
6432.5,XBT/EUR,2018-04-16 18:27:14
6432.5,XBT/EUR,2018-04-16 18:27:24
6433.6,XBT/EUR,2018-04-16 18:27:34
6437.0,XBT/EUR,2018-04-16 18:29:35
6437.0,XBT/EUR,2018-04-16 18:29:36
6437.0,XBT/EUR,2018-04-16 18:29:45
6437.0,XBT/EUR,2018-04-16 18:29:55
6440.1,XBT/EUR,2018-04-16 18:30:05
6439.3,XBT/EUR,2018-04-16 18:35:45
6439.3,XBT/EUR,2018-04-16 18:37:15
6437.0,XBT/EUR,2018-04-16 18:38:05
6437.2,XBT/EUR,2018-04-16 18:42:36
6437.2,XBT/EUR,2018-04-16 18:42:44
6437.2,XBT/EUR,2018-04-16 18:42:45
6437.2,XBT/EUR,2018-04-16 18:42:54
6439.5,XBT/EUR,2018-04-16 18:45:35
6437.1,XBT/EUR,2018-04-16 18:45:40
6437.1,XBT/EUR,2018-04-16 18:45:41
6437.1,XBT/EUR,2018-04-16 18:45:50
6441.9,XBT/EUR,2018-04-16 18:46:00
6442.3,XBT/EUR,2018-04-16 18:46:10
6442.3,XBT/EUR,2018-04-16 18:46:20
6442.3,XBT/EUR,2018-04-16 18:46:30
6442.3,XBT/EUR,2018-04-16 18:46:40
6438.0,XBT/EUR,2018-04-16 18:48:31
6438.0,XBT/EUR,2018-04-16 18:48:35
6438.0,XBT/EUR,2018-04-16 18:48:36
6438.0,XBT/EUR,2018-04-16 18:48:45
6445.2,XBT/EUR,2018-04-16 18:49:25
6445.2,XBT/EUR,2018-04-16 18:49:26
6438.2,XBT/EUR,2018-04-16 18:49:35
6438.2,XBT/EUR,2018-04-16 18:49:44
6438.2,XBT/EUR,2018-04-16 18:49:55
6444.8,XBT/EUR,2018-04-16 18:50:05
6442.1,XBT/EUR,2018-04-16 18:50:15
6445.0,XBT/EUR,2018-04-16 18:50:24
6445.0,XBT/EUR,2018-04-16 18:50:34
6444.9,XBT/EUR,2018-04-16 18:50:44
6441.9,XBT/EUR,2018-04-16 18:57:06
6441.3,XBT/EUR,2018-04-16 18:57:13
6441.3,XBT/EUR,2018-04-16 18:57:14
6441.3,XBT/EUR,2018-04-16 18:57:23
6441.3,XBT/EUR,2018-04-16 18:57:33
6440.2,XBT/EUR,2018-04-16 18:57:43
6440.2,XBT/EUR,2018-04-16 18:57:53
6441.1,XBT/EUR,2018-04-16 18:58:03
6441.1,XBT/EUR,2018-04-16 18:58:14
6440.2,XBT/EUR,2018-04-16 18:58:24
6440.2,XBT/EUR,2018-04-16 18:58:33
6440.0,XBT/EUR,2018-04-16 18:59:37
6440.0,XBT/EUR,2018-04-16 18:59:39
6440.1,XBT/EUR,2018-04-16 18:59:47
6440.1,XBT/EUR,2018-04-16 18:59:49
6440.1,XBT/EUR,2018-04-16 18:59:51
6440.2,XBT/EUR,2018-04-16 19:00:00
6440.0,XBT/EUR,2018-04-16 19:00:10
6440.0,XBT/EUR,2018-04-16 19:00:20
6440.2,XBT/EUR,2018-04-16 19:00:29
6556.0,XBT/EUR,2018-04-17 19:09:23
6555.9,XBT/EUR,2018-04-17 19:09:27
6555.9,XBT/EUR,2018-04-17 19:09:28
6555.9,XBT/EUR,2018-04-17 19:09:37
